# W: 25
# H: 10
# R_BOLA: 0.2
#         t             x0             y0            vx0            vy0             x1             y1            vx1            vy1             x2             y2            vx2            vy2             x3             y3            vx3            vy3             x4             y4            vx4            vy4             x5             y5            vx5            vy5             x6             y6            vx6            vy6             x7             y7            vx7            vy7             x8             y8            vx8            vy8             x9             y9            vx9            vy9            x10            y10           vx10           vy10            x11            y11           vx11           vy11            x12            y12           vx12           vy12            x13            y13           vx13           vy13            x14            y14           vx14           vy14            x15            y15           vx15           vy15            x16            y16           vx16           vy16            x17            y17           vx17           vy17            x18            y18           vx18           vy18            x19            y19           vx19           vy19            x20            y20           vx20           vy20            x21            y21           vx21           vy21            x22            y22           vx22           vy22            x23            y23           vx23           vy23            x24            y24           vx24           vy24            x25            y25           vx25           vy25
    0.1000       0.212791       0.241206       0.127910       0.420473       3.701191       0.204112      -0.130951       0.041119       7.245621       0.231483       0.170496       0.321257      10.729296       0.247462      -0.135611       0.484301      14.184072       0.228290      -0.730709       0.288671      17.735379       0.254798      -0.360494       0.547976      21.211322       0.252423      -0.743920       0.524232      24.743066       0.219108      -0.580961       0.191083       0.239531       3.355869       0.403381      -0.441308       3.778621       3.330609       0.643354      -0.693911       7.301466       3.467293       0.728941       0.672928      10.783011       3.368504       0.401536      -0.314960      14.207262       3.370611      -0.498808      -0.293891      17.791492       3.347829       0.200636      -0.521710      21.258490       3.383901      -0.272239      -0.160991      24.767758       3.419411      -0.329001       0.194110       0.201947       6.546394       0.019465      -0.536058       3.656369       6.592960      -0.579168      -0.070396       7.246848       6.586740       0.182763      -0.132597      10.782249       6.623753       0.393914       0.237529      14.299929       6.603086       0.427859       0.030862      17.802308       6.627539       0.308797       0.275394      21.276878       6.614110      -0.088361       0.141099      24.706027       6.615397      -0.958904       0.153971       0.208064       9.710932       0.080642      -0.890682       3.790974       9.756227       0.766881      -0.437732
    0.1100       0.214070       0.245411       0.127910       0.420473       3.699881       0.204523      -0.130951       0.041119       7.247326       0.234696       0.170496       0.321257      10.727940       0.252305      -0.135611       0.484301      14.176765       0.231176      -0.730709       0.288671      17.731774       0.260277      -0.360494       0.547976      21.203883       0.257666      -0.743920       0.524232      24.737256       0.221019      -0.580961       0.191083       0.243565       3.351456       0.403381      -0.441308       3.785055       3.323670       0.643354      -0.693911       7.308755       3.474022       0.728941       0.672928      10.787026       3.365354       0.401536      -0.314960      14.202274       3.367672      -0.498808      -0.293891      17.793499       3.342612       0.200636      -0.521710      21.255768       3.382291      -0.272239      -0.160991      24.764468       3.421352      -0.329001       0.194110       0.202141       6.541034       0.019465      -0.536058       3.650577       6.592256      -0.579168      -0.070396       7.248675       6.585414       0.182763      -0.132597      10.786188       6.626128       0.393914       0.237529      14.304207       6.603395       0.427859       0.030862      17.805396       6.630293       0.308797       0.275394      21.275995       6.615521      -0.088361       0.141099      24.696438       6.616937      -0.958904       0.153971       0.208871       9.702025       0.080642      -0.890682       3.798643       9.751849       0.766881      -0.437732
    0.1200       0.215349       0.249616       0.127910       0.420473       3.698572       0.204934      -0.130951       0.041119       7.249031       0.237908       0.170496       0.321257      10.726584       0.257148      -0.135611       0.484301      14.169458       0.234063      -0.730709       0.288671      17.728169       0.265757      -0.360494       0.547976      21.196444       0.262908      -0.743920       0.524232      24.731447       0.222930      -0.580961       0.191083       0.247599       3.347043       0.403381      -0.441308       3.791488       3.316731       0.643354      -0.693911       7.316044       3.480751       0.728941       0.672928      10.791041       3.362205       0.401536      -0.314960      14.197286       3.364733      -0.498808      -0.293891      17.795505       3.337395       0.200636      -0.521710      21.253046       3.380681      -0.272239      -0.160991      24.761178       3.423293      -0.329001       0.194110       0.202336       6.535673       0.019465      -0.536058       3.644786       6.591553      -0.579168      -0.070396       7.250503       6.584088       0.182763      -0.132597      10.790127       6.628503       0.393914       0.237529      14.308486       6.603703       0.427859       0.030862      17.808484       6.633047       0.308797       0.275394      21.275111       6.616932      -0.088361       0.141099      24.686849       6.618476      -0.958904       0.153971       0.209677       9.693118       0.080642      -0.890682       3.806311       9.747472       0.766881      -0.437732
    0.1300       0.216628       0.253821       0.127910       0.420473       3.697262       0.205345      -0.130951       0.041119       7.250736       0.241121       0.170496       0.321257      10.725228       0.261991      -0.135611       0.484301      14.162151       0.236950      -0.730709       0.288671      17.724564       0.271237      -0.360494       0.547976      21.189005       0.268150      -0.743920       0.524232      24.725637       0.224841      -0.580961       0.191083       0.251633       3.342630       0.403381      -0.441308       3.797922       3.309792       0.643354      -0.693911       7.323334       3.487481       0.728941       0.672928      10.795057       3.359055       0.401536      -0.314960      14.192298       3.361794      -0.498808      -0.293891      17.797511       3.332178       0.200636      -0.521710      21.250323       3.379071      -0.272239      -0.160991      24.757888       3.425234      -0.329001       0.194110       0.202530       6.530312       0.019465      -0.536058       3.638994       6.590849      -0.579168      -0.070396       7.252331       6.582762       0.182763      -0.132597      10.794066       6.630879       0.393914       0.237529      14.312764       6.604012       0.427859       0.030862      17.811572       6.635801       0.308797       0.275394      21.274227       6.618343      -0.088361       0.141099      24.677260       6.620016      -0.958904       0.153971       0.210483       9.684211       0.080642      -0.890682       3.813980       9.743095       0.766881      -0.437732
    0.1400       0.217907       0.258025       0.127910       0.420473       3.695953       0.205757      -0.130951       0.041119       7.252441       0.244334       0.170496       0.321257      10.723872       0.266834      -0.135611       0.484301      14.154844       0.239837      -0.730709       0.288671      17.720959       0.276717      -0.360494       0.547976      21.181565       0.273393      -0.743920       0.524232      24.719827       0.226752      -0.580961       0.191083       0.255667       3.338217       0.403381      -0.441308       3.804355       3.302852       0.643354      -0.693911       7.330623       3.494210       0.728941       0.672928      10.799072       3.355906       0.401536      -0.314960      14.187310       3.358855      -0.498808      -0.293891      17.799518       3.326961       0.200636      -0.521710      21.247601       3.377461      -0.272239      -0.160991      24.754598       3.427175      -0.329001       0.194110       0.202725       6.524952       0.019465      -0.536058       3.633202       6.590145      -0.579168      -0.070396       7.254158       6.581436       0.182763      -0.132597      10.798005       6.633254       0.393914       0.237529      14.317043       6.604321       0.427859       0.030862      17.814660       6.638555       0.308797       0.275394      21.273344       6.619754      -0.088361       0.141099      24.667671       6.621556      -0.958904       0.153971       0.211290       9.675305       0.080642      -0.890682       3.821649       9.738718       0.766881      -0.437732
    0.1500       0.219187       0.262230       0.127910       0.420473       3.694643       0.206168      -0.130951       0.041119       7.254146       0.247546       0.170496       0.321257      10.722515       0.271677      -0.135611       0.484301      14.147537       0.242723      -0.730709       0.288671      17.717354       0.282196      -0.360494       0.547976      21.174126       0.278635      -0.743920       0.524232      24.714018       0.228662      -0.580961       0.191083       0.259700       3.333804       0.403381      -0.441308       3.810789       3.295913       0.643354      -0.693911       7.337913       3.500939       0.728941       0.672928      10.803087       3.352756       0.401536      -0.314960      14.182322       3.355916      -0.498808      -0.293891      17.801524       3.321743       0.200636      -0.521710      21.244879       3.375851      -0.272239      -0.160991      24.751308       3.429117      -0.329001       0.194110       0.202920       6.519591       0.019465      -0.536058       3.627410       6.589441      -0.579168      -0.070396       7.255986       6.580110       0.182763      -0.132597      10.801944       6.635629       0.393914       0.237529      14.321322       6.604629       0.427859       0.030862      17.817748       6.641309       0.308797       0.275394      21.272460       6.621165      -0.088361       0.141099      24.658082       6.623096      -0.958904       0.153971       0.212096       9.666398       0.080642      -0.890682       3.829318       9.734340       0.766881      -0.437732
    0.1600       0.220466       0.266435       0.127910       0.420473       3.693334       0.206579      -0.130951       0.041119       7.255851       0.250759       0.170496       0.321257      10.721159       0.276520      -0.135611       0.484301      14.140229       0.245610      -0.730709       0.288671      17.713750       0.287676      -0.360494       0.547976      21.166687       0.283877      -0.743920       0.524232      24.708208       0.230573      -0.580961       0.191083       0.263734       3.329391       0.403381      -0.441308       3.817222       3.288974       0.643354      -0.693911       7.345202       3.507669       0.728941       0.672928      10.807103       3.349606       0.401536      -0.314960      14.177334       3.352977      -0.498808      -0.293891      17.803530       3.316526       0.200636      -0.521710      21.242156       3.374241      -0.272239      -0.160991      24.748018       3.431058      -0.329001       0.194110       0.203114       6.514231       0.019465      -0.536058       3.621619       6.588737      -0.579168      -0.070396       7.257814       6.578784       0.182763      -0.132597      10.805883       6.638005       0.393914       0.237529      14.325600       6.604938       0.427859       0.030862      17.820836       6.644063       0.308797       0.275394      21.271576       6.622576      -0.088361       0.141099      24.648493       6.624635      -0.958904       0.153971       0.212903       9.657491       0.080642      -0.890682       3.836987       9.729963       0.766881      -0.437732
    0.1700       0.221745       0.270640       0.127910       0.420473       3.692024       0.206990      -0.130951       0.041119       7.257556       0.253971       0.170496       0.321257      10.719803       0.281363      -0.135611       0.484301      14.132922       0.248497      -0.730709       0.288671      17.710145       0.293156      -0.360494       0.547976      21.159248       0.289119      -0.743920       0.524232      24.702399       0.232484      -0.580961       0.191083       0.267768       3.324978       0.403381      -0.441308       3.823656       3.282035       0.643354      -0.693911       7.352491       3.514398       0.728941       0.672928      10.811118       3.346457       0.401536      -0.314960      14.172346       3.350039      -0.498808      -0.293891      17.805537       3.311309       0.200636      -0.521710      21.239434       3.372632      -0.272239      -0.160991      24.744728       3.432999      -0.329001       0.194110       0.203309       6.508870       0.019465      -0.536058       3.615827       6.588033      -0.579168      -0.070396       7.259641       6.577459       0.182763      -0.132597      10.809823       6.640380       0.393914       0.237529      14.329879       6.605247       0.427859       0.030862      17.823924       6.646817       0.308797       0.275394      21.270693       6.623987      -0.088361       0.141099      24.638904       6.626175      -0.958904       0.153971       0.213709       9.648584       0.080642      -0.890682       3.844655       9.725586       0.766881      -0.437732
    0.1800       0.223024       0.274844       0.127910       0.420473       3.690715       0.207401      -0.130951       0.041119       7.259261       0.257184       0.170496       0.321257      10.718447       0.286206      -0.135611       0.484301      14.125615       0.251383      -0.730709       0.288671      17.706540       0.298636      -0.360494       0.547976      21.151809       0.294362      -0.743920       0.524232      24.696589       0.234395      -0.580961       0.191083       0.271802       3.320565       0.403381      -0.441308       3.830089       3.275096       0.643354      -0.693911       7.359781       3.521127       0.728941       0.672928      10.815134       3.343307       0.401536      -0.314960      14.167358       3.347100      -0.498808      -0.293891      17.807543       3.306092       0.200636      -0.521710      21.236711       3.371022      -0.272239      -0.160991      24.741438       3.434940      -0.329001       0.194110       0.203504       6.503510       0.019465      -0.536058       3.610035       6.587329      -0.579168      -0.070396       7.261469       6.576133       0.182763      -0.132597      10.813762       6.642755       0.393914       0.237529      14.334157       6.605555       0.427859       0.030862      17.827012       6.649571       0.308797       0.275394      21.269809       6.625398      -0.088361       0.141099      24.629315       6.627715      -0.958904       0.153971       0.214516       9.639677       0.080642      -0.890682       3.852324       9.721208       0.766881      -0.437732
    0.1900       0.224303       0.279049       0.127910       0.420473       3.689405       0.207813      -0.130951       0.041119       7.260966       0.260396       0.170496       0.321257      10.717091       0.291049      -0.135611       0.484301      14.118308       0.254270      -0.730709       0.288671      17.702935       0.304116      -0.360494       0.547976      21.144369       0.299604      -0.743920       0.524232      24.690779       0.236306      -0.580961       0.191083       0.275836       3.316151       0.403381      -0.441308       3.836523       3.268157       0.643354      -0.693911       7.367070       3.527856       0.728941       0.672928      10.819149       3.340158       0.401536      -0.314960      14.162369       3.344161      -0.498808      -0.293891      17.809550       3.300875       0.200636      -0.521710      21.233989       3.369412      -0.272239      -0.160991      24.738148       3.436881      -0.329001       0.194110       0.203698       6.498149       0.019465      -0.536058       3.604244       6.586625      -0.579168      -0.070396       7.263296       6.574807       0.182763      -0.132597      10.817701       6.645130       0.393914       0.237529      14.338436       6.605864       0.427859       0.030862      17.830100       6.652325       0.308797       0.275394      21.268926       6.626809      -0.088361       0.141099      24.619726       6.629254      -0.958904       0.153971       0.215322       9.630770       0.080642      -0.890682       3.859993       9.716831       0.766881      -0.437732
