t,x0,y0,vx0,vy0,x1,y1,vx1,vy1,x2,y2,vx2,vy2,x3,y3,vx3,vy3,x4,y4,vx4,vy4,x5,y5,vx5,vy5,x6,y6,vx6,vy6,x7,y7,vx7,vy7,x8,y8,vx8,vy8,x9,y9,vx9,vy9
0.12,5.05081,3.92015,0.423467,-0.665329,10.0396,3.81251,0.329712,-1.56232,15.0403,3.97502,0.335724,-0.208069,4.90593,8.15857,-0.783924,1.32144,9.97692,8.13094,-0.192357,1.09119,14.8506,8.02136,-1.24513,0.178057,4.91864,12.0925,-0.677953,0.771114,10.2101,11.935,1.75047,-0.541986,14.8867,11.8703,-0.943947,-1.08054,5.09172,16.1132,0.764337,0.942921
0.13,5.05505,3.9135,0.423471,-0.665319,10.0429,3.79689,0.329712,-1.56232,15.0436,3.97294,0.335719,-0.208055,4.89809,8.17178,-0.78392,1.32145,9.97499,8.14185,-0.192355,1.0912,14.8381,8.02314,-1.24513,0.178063,4.91186,12.1002,-0.67795,0.771111,10.2276,11.9296,1.75048,-0.542008,14.8773,11.8595,-0.943953,-1.08056,5.09936,16.1226,0.764337,0.942907
0.14,5.05928,3.90685,0.423474,-0.665309,10.0462,3.78127,0.329711,-1.56231,15.047,3.97086,0.335715,-0.208042,4.89025,8.185,-0.783916,1.32146,9.97307,8.15276,-0.192352,1.09121,14.8257,8.02493,-1.24513,0.17807,4.90508,12.108,-0.677947,0.771108,10.2451,11.9241,1.75048,-0.54203,14.8679,11.8487,-0.943959,-1.08058,5.10701,16.132,0.764336,0.942892
0.15,5.06352,3.90019,0.423477,-0.6653,10.0495,3.76564,0.329711,-1.5623,15.0504,3.96878,0.335711,-0.208028,4.88241,8.19821,-0.783912,1.32147,9.97115,8.16367,-0.192349,1.09123,14.8132,8.02671,-1.24514,0.178078,4.8983,12.1157,-0.677944,0.771104,10.2626,11.9187,1.75048,-0.542052,14.8584,11.8379,-0.943965,-1.08061,5.11465,16.1414,0.764336,0.942878
0.16,5.06775,3.89354,0.42348,-0.665291,10.0528,3.75002,0.329711,-1.56229,15.0537,3.9667,0.335707,-0.208015,4.87457,8.21143,-0.783909,1.32147,9.96922,8.17458,-0.192346,1.09124,14.8008,8.02849,-1.24514,0.178086,4.89153,12.1234,-0.677941,0.7711,10.2801,11.9133,1.75048,-0.542076,14.849,11.8271,-0.943972,-1.08063,5.12229,16.1509,0.764336,0.942864
0.17,5.07199,3.88689,0.423483,-0.665282,10.0561,3.7344,0.329711,-1.56228,15.0571,3.96462,0.335703,-0.208002,4.86673,8.22464,-0.783905,1.32148,9.9673,8.1855,-0.192343,1.09126,14.7883,8.03027,-1.24515,0.178095,4.88475,12.1311,-0.677938,0.771096,10.2976,11.9079,1.75048,-0.5421,14.8395,11.8163,-0.943978,-1.08065,5.12994,16.1603,0.764335,0.94285
0.18,5.07622,3.88023,0.423487,-0.665274,10.0593,3.71878,0.329711,-1.56227,15.0604,3.96254,0.335698,-0.207989,4.85889,8.23786,-0.783901,1.32149,9.96538,8.19641,-0.192339,1.09127,14.7759,8.03205,-1.24515,0.178104,4.87797,12.1388,-0.677935,0.771092,10.3151,11.9025,1.75049,-0.542124,14.8301,11.8055,-0.943986,-1.08067,5.13758,16.1697,0.764335,0.942836
0.19,5.08046,3.87358,0.42349,-0.665265,10.0626,3.70315,0.329711,-1.56227,15.0638,3.96046,0.335694,-0.207976,4.85105,8.25107,-0.783897,1.3215,9.96345,8.20732,-0.192335,1.09129,14.7634,8.03383,-1.24515,0.178114,4.87119,12.1465,-0.677932,0.771088,10.3326,11.897,1.75049,-0.54215,14.8207,11.7947,-0.943993,-1.08069,5.14522,16.1792,0.764334,0.942822
0.2,5.08469,3.86693,0.423493,-0.665258,10.0659,3.68753,0.329711,-1.56226,15.0671,3.95838,0.33569,-0.207963,4.84321,8.26429,-0.783893,1.32151,9.96153,8.21824,-0.19233,1.09131,14.751,8.03561,-1.24516,0.178125,4.86441,12.1542,-0.677929,0.771083,10.3501,11.8916,1.75049,-0.542176,14.8112,11.7839,-0.944001,-1.08072,5.15287,16.1886,0.764334,0.942808
0.21,5.08893,3.86028,0.423496,-0.66525,10.0692,3.67191,0.329711,-1.56225,15.0705,3.9563,0.335685,-0.20795,4.83537,8.2775,-0.78389,1.32152,9.95961,8.22915,-0.192325,1.09133,14.7385,8.03739,-1.24516,0.178136,4.85763,12.1619,-0.677926,0.771078,10.3676,11.8862,1.75049,-0.542202,14.8018,11.7731,-0.944009,-1.08074,5.16051,16.198,0.764333,0.942794
