# t x1 v1 x2 v2
0.87000000 0.53408879 -1.08503246 0.37477189 -0.33570253
0.88000000 0.52316887 -1.09896491 0.37138558 -0.34157056
0.89000000 0.51210922 -1.11297743 0.36794027 -0.34750183
0.90000000 0.50090905 -1.12707091 0.36443533 -0.35349706
0.91000000 0.48956753 -1.14124614 0.36087011 -0.35955701
0.92000000 0.47808385 -1.15550376 0.35724397 -0.36568240
0.93000000 0.46645718 -1.16984431 0.35355624 -0.37187399
0.94000000 0.45468669 -1.18426816 0.34980627 -0.37813255
0.95000000 0.44277154 -1.19877555 0.34599337 -0.38445882
0.96000000 0.43071090 -1.21336656 0.34211686 -0.39085359
0.97000000 0.41850393 -1.22804110 0.33817607 -0.39731761
0.98000000 0.40614980 -1.24279890 0.33417028 -0.40385167
0.99000000 0.39364767 -1.25763950 0.33009880 -0.41045655
1.00000000 0.38099673 -1.27256224 0.32596091 -0.41713304
1.01000000 0.36819616 -1.28756625 0.32175589 -0.42388193
1.02000000 0.35524514 -1.30265042 0.31748303 -0.43070400
1.03000000 0.34214289 -1.31781343 0.31314157 -0.43760005
1.04000000 0.32888862 -1.33305368 0.30873078 -0.44457088
1.05000000 0.31548156 -1.34836932 0.30424990 -0.45161729
1.06000000 0.30192099 -1.36375823 0.29969817 -0.45874007
1.07000000 0.28820616 -1.37921797 0.29507484 -0.46594002
1.08000000 0.27433640 -1.39474582 0.29037911 -0.47321794
1.09000000 0.26031103 -1.41033873 0.28561022 -0.48057462
1.10000000 0.24612942 -1.42599330 0.28076736 -0.48801085
1.11000000 0.23179097 -1.44170577 0.27584973 -0.49552742
1.12000000 0.21729512 -1.45747203 0.27085654 -0.50312511
1.13000000 0.20264136 -1.47328758 0.26578696 -0.51080471
1.14000000 0.18782922 -1.48914748 0.26064017 -0.51856697
1.15000000 0.17285829 -1.50504641 0.25541534 -0.52641265
1.16000000 0.15772819 -1.52097859 0.25011163 -0.53434251
1.17000000 0.14243862 -1.53693777 0.24472821 -0.54235729
1.18000000 0.12698936 -1.55291725 0.23926420 -0.55045770
1.19000000 0.11138023 -1.56890981 0.23371877 -0.55864446
1.20000000 0.09561115 -1.58490774 0.22809102 -0.56691827
1.21000000 0.07968209 -1.60090278 0.22238011 -0.57527979
1.22000000 0.06359313 -1.61688614 0.21658513 -0.58372967
1.23000000 0.04734444 -1.63284845 0.21070522 -0.59226856
1.24000000 0.03093627 -1.64877978 0.20473946 -0.60089706
1.25000000 0.01436898 -1.66466957 0.19868698 -0.60961574
1.26000000 -0.00235695 -1.68050667 0.19254685 -0.61842516
1.27000000 -0.01924094 -1.69627930 0.18631817 -0.62732583
1.28000000 -0.03628228 -1.71197504 0.18000002 -0.63631824
1.29000000 -0.05348014 -1.72758079 0.17359150 -0.64540283
1.30000000 -0.07083355 -1.74308282 0.16709166 -0.65458000
1.31000000 -0.08834140 -1.75846669 0.16049959 -0.66385011
1.32000000 -0.10600244 -1.77371729 0.15381435 -0.67321348
1.33000000 -0.12381525 -1.78881883 0.14703500 -0.68267037
1.34000000 -0.14177826 -1.80375478 0.14016063 -0.69222098
1.35000000 -0.15988974 -1.81850797 0.13319027 -0.70186545
1.36000000 -0.17814776 -1.83306047 0.12612300 -0.71160389
1.37000000 -0.19655022 -1.84739369 0.11895788 -0.72143631
1.38000000 -0.21509483 -1.86148834 0.11169396 -0.73136265
1.39000000 -0.23377912 -1.87532444 0.10433032 -0.74138279
1.40000000 -0.25260039 -1.88888133 0.09686600 -0.75149652
1.41000000 -0.27155575 -1.90213771 0.08930007 -0.76170356
1.42000000 -0.29064207 -1.91507162 0.08163162 -0.77200353
1.43000000 -0.30985603 -1.92766051 0.07385970 -0.78239594
1.44000000 -0.32919405 -1.93988122 0.06598339 -0.79288023
1.45000000 -0.34865235 -1.95171004 0.05800179 -0.80345570
1.46000000 -0.36822687 -1.96312274 0.04991398 -0.81412157
1.47000000 -0.38791333 -1.97409460 0.04171906 -0.82487693
1.48000000 -0.40770721 -1.98460048 0.03341614 -0.83572074
1.49000000 -0.42760370 -1.99461485 0.02500435 -0.84665183
1.50000000 -0.44759778 -2.00411185 0.01648282 -0.85766890
1.51000000 -0.46768413 -2.01306535 0.00785069 -0.86877050
1.52000000 -0.48785719 -2.02144903 -0.00089287 -0.87995504
1.53000000 -0.50811112 -2.02923643 -0.00974868 -0.89122076
1.54000000 -0.52843984 -2.03640103 -0.01871755 -0.90256574
1.55000000 -0.54883698 -2.04291637 -0.02780025 -0.91398790
1.56000000 -0.56929591 -2.04875607 -0.03699755 -0.92548495
1.57000000 -0.58980976 -2.05389396 -0.04631019 -0.93705444
1.58000000 -0.61037137 -2.05830421 -0.05573888 -0.94869372
1.59000000 -0.63097333 -2.06196133 -0.06528429 -0.96039993
1.60000000 -0.65160800 -2.06484039 -0.07494709 -0.97217000
1.61000000 -0.67226747 -2.06691703 -0.08472789 -0.98400065
1.62000000 -0.69294359 -2.06816764 -0.09462729 -0.99588836
1.63000000 -0.71362799 -2.06856943 -0.10464584 -1.00782939
1.64000000 -0.73431207 -2.06810054 -0.11478404 -1.01981975
1.65000000 -0.75498703 -2.06674019 -0.12504238 -1.03185520
1.66000000 -0.77564384 -2.06446876 -0.13542128 -1.04393124
1.67000000 -0.79627331 -2.06126793 -0.14592113 -1.05604310
1.68000000 -0.81686605 -2.05712075 -0.15654225 -1.06818575
1.69000000 -0.83741252 -2.05201180 -0.16728493 -1.08035386
1.70000000 -0.85790303 -2.04592727 -0.17814939 -1.09254182
1.71000000 -0.87832777 -2.03885506 -0.18913581 -1.10474374
1.72000000 -0.89867680 -2.03078489 -0.20024429 -1.11695340
1.73000000 -0.91894011 -2.02170838 -0.21147488 -1.12916428
1.74000000 -0.93910759 -2.01161914 -0.22282756 -1.14136954
1.75000000 -0.95916910 -2.00051285 -0.23430223 -1.15356205
1.76000000 -0.97911445 -1.98838733 -0.24589873 -1.16573431
1.77000000 -0.99893345 -1.97524258 -0.25761682 -1.17787851
1.78000000 -1.01861592 -1.96108085 -0.26945618 -1.18998650
1.79000000 -1.03815169 -1.94590667 -0.28141640 -1.20204981
1.80000000 -1.05753070 -1.92972689 -0.29349700 -1.21405959
1.81000000 -1.07674291 -1.91255068 -0.30569739 -1.22600669
1.82000000 -1.09577843 -1.89438953 -0.31801689 -1.23788158
1.83000000 -1.11462746 -1.87525726 -0.33045474 -1.24967440
1.84000000 -1.13328039 -1.85516997 -0.34301007 -1.26137494
1.85000000 -1.15172774 -1.83414604 -0.35568190 -1.27297266
1.86000000 -1.16996025 -1.81220606 -0.36846915 -1.28445666
1.87000000 -1.18796888 -1.78937277 -0.38137062 -1.29581572
1.88000000 -1.20574481 -1.76567101 -0.39438501 -1.30703828
1.89000000 -1.22327950 -1.74112759 -0.40751089 -1.31811245
1.90000000 -1.24056466 -1.71577126 -0.42074672 -1.32902602
1.91000000 -1.25759231 -1.68963255 -0.43409083 -1.33976650
1.92000000 -1.27435481 -1.66274368 -0.44754143 -1.35032106
1.93000000 -1.29084480 -1.63513845 -0.46109659 -1.36067661
1.94000000 -1.30705531 -1.60685206 -0.47475425 -1.37081977
1.95000000 -1.32297969 -1.57792103 -0.48851223 -1.38073692
1.96000000 -1.33861170 -1.54838302 -0.50236819 -1.39041418
1.97000000 -1.35394546 -1.51827669 -0.51631967 -1.39983746
1.98000000 -1.36897547 -1.48764155 -0.53036405 -1.40899245
1.99000000 -1.38369666 -1.45651780 -0.54449858 -1.41786469
2.00000000 -1.39810434 -1.42494618 -0.55872035 -1.42643952
2.01000000 -1.41219423 -1.39296783 -0.57302633 -1.43470218
2.02000000 -1.42596247 -1.36062408 -0.58741330 -1.44263779
2.03000000 -1.43940563 -1.32795636 -0.60187794 -1.45023140
2.04000000 -1.45252066 -1.29500602 -0.61641674 -1.45746800
2.05000000 -1.46530495 -1.26181419 -0.63102606 -1.46433259
2.06000000 -1.47775627 -1.22842164 -0.64570210 -1.47081016
2.07000000 -1.48987284 -1.19486863 -0.66044092 -1.47688579
2.08000000 -1.50165324 -1.16119483 -0.67523843 -1.48254462
2.09000000 -1.51309647 -1.12743913 -0.69009038 -1.48777195
2.10000000 -1.52420188 -1.09363960 -0.70499238 -1.49255322
2.11000000 -1.53496924 -1.05983331 -0.71993991 -1.49687412
2.12000000 -1.54539865 -1.02605630 -0.73492828 -1.50072056
2.13000000 -1.55549058 -0.99234347 -0.74995269 -1.50407876
2.14000000 -1.56524584 -0.95872848 -0.76500819 -1.50693529
2.15000000 -1.57466558 -0.92524372 -0.78008968 -1.50927709
2.16000000 -1.58375125 -0.89192024 -0.79519197 -1.51109156
2.17000000 -1.59250462 -0.85878765 -0.81030971 -1.51236654
2.18000000 -1.60092774 -0.82587418 -0.82543746 -1.51309041
2.19000000 -1.60902292 -0.79320653 -0.84056965 -1.51325212
2.20000000 -1.61679277 -0.76080996 -0.85570060 -1.51284123
2.21000000 -1.62424011 -0.72870818 -0.87082453 -1.51184795
2.22000000 -1.63136799 -0.69692340 -0.88593558 -1.51026319
2.23000000 -1.63817970 -0.66547630 -0.90102780 -1.50807860
2.24000000 -1.64467871 -0.63438607 -0.91609513 -1.50528663
2.25000000 -1.65086867 -0.60367038 -0.93113148 -1.50188052
2.26000000 -1.65675342 -0.57334542 -0.94613067 -1.49785438
2.27000000 -1.66233693 -0.54342593 -0.96108649 -1.49320322
2.28000000 -1.66762333 -0.51392522 -0.97599264 -1.48792297
2.29000000 -1.67261687 -0.48485521 -0.99084284 -1.48201049
2.30000000 -1.67732191 -0.45622647 -1.00563074 -1.47546366
2.31000000 -1.68174290 -0.42804823 -1.02034999 -1.46828132
2.32000000 -1.68588440 -0.40032847 -1.03499424 -1.46046338
2.33000000 -1.68975102 -0.37307394 -1.04955714 -1.45201074
2.34000000 -1.69334745 -0.34629020 -1.06403235 -1.44292539
2.35000000 -1.69667841 -0.31998171 -1.07841355 -1.43321035
2.36000000 -1.69974868 -0.29415183 -1.09269447 -1.42286974
2.37000000 -1.70256305 -0.26880290 -1.10686888 -1.41190871
2.38000000 -1.70512634 -0.24393629 -1.12093060 -1.40033348
2.39000000 -1.70744339 -0.21955246 -1.13487352 -1.38815135
2.40000000 -1.70951900 -0.19565100 -1.14869163 -1.37537063
2.41000000 -1.71135801 -0.17223067 -1.16237897 -1.36200066
2.42000000 -1.71296521 -0.14928948 -1.17592971 -1.34805181
2.43000000 -1.71434539 -0.12682473 -1.18933812 -1.33353539
