t	x	v	state	E_total
13.9	-0.422696	-0.0574558	1	2.6435
14	-0.388423	0.469152	1	2.5377
14.1	-0.32789	0.771149	1	2.34664
14.2	-0.212253	1.49663	1	2.44653
14.3	-0.0108731	2.53213	1	3.27381
14.4	0.174197	0.689946	1	4.59294
14.5	0.154691	-1.33915	1	4.76394
14.6	-0.0780651	-2.90445	1	4.70582
14.7	-0.323775	-2.1395	1	4.31233
14.8	-0.531104	-1.84852	1	5.02791
14.9	-0.67721	-1.06044	1	4.79483
15	-0.746031	-0.392263	1	4.73963
15.1	-0.735197	0.397692	1	4.67406
15.2	-0.669789	0.844289	1	4.54259
15.3	-0.553678	1.41163	1	4.45683
15.4	-0.370796	1.86755	1	4.06134
15.5	-0.16651	2.31224	1	3.7139
15.6	0.069572	1.68739	1	3.16293
15.7	0.104199	-1.14196	1	3.257
15.8	-0.110439	-2.61834	1	4.1181
15.9	-0.321155	-1.85246	1	3.72302
16	-0.48615	-1.54606	1	4.23359
16.1	-0.577234	-0.486812	1	3.72621
16.2	-0.594777	0.0661053	1	3.71954
16.3	-0.513716	1.37271	1	4.15289
16.4	-0.326952	2.16896	1	4.39564
16.5	-0.107513	2.03614	1	2.74489
16.6	0.10347	1.31421	1	3.45032
16.7	0.123995	-1.09429	1	3.6986
16.8	-0.0783782	-2.36544	1	3.28753
16.9	-0.291054	-1.95378	1	3.72771
17	-0.45865	-1.72271	1	4.35042
17.1	-0.625712	-1.4981	1	5.03285
17.2	-0.755433	-1.00211	1	5.22357
17.3	-0.883227	-2.3059	1	5.57792
17.4	-1.16621	-2.66223	1	4.58256
17.5	-1.37165	-1.49639	1	3.44239
17.6	-1.45391	-0.221619	1	2.86148
17.7	-1.46979	-0.098217	1	2.94103
17.8	-1.49236	-0.209462	1	3.09917
17.9	-1.50678	0.107594	1	3.17318
18	-1.46255	0.695801	1	3.13304
18.1	-1.37705	0.934888	1	2.7936
18.2	-1.24193	1.71459	1	2.98197
18.3	-1.05198	2.17873	1	2.69833
18.4	-0.9043	-0.0309642	1	2.39299
18.5	-1.03802	-2.3194	1	2.92743
18.6	-1.2528	-1.84811	1	3.28774
18.7	-1.39128	-0.991691	1	2.9372
18.8	-1.44298	-0.0465215	1	2.76971
18.9	-1.43697	0.218952	1	2.75503
19	-1.39214	0.925296	1	2.87894
19.1	-1.23664	2.25016	1	4.01059
19.2	-0.954903	3.10986	1	5.96304
19.3	-0.825077	-0.266341	1	4.40854
19.4	-0.979262	-2.63274	1	3.98411
19.5	-1.24622	-2.24275	1	4.05381
19.6	-1.44634	-1.75695	1	4.33305
19.7	-1.57086	-1.01535	1	4.08336
19.8	-1.65089	-0.453166	1	4.17077
19.9	-1.64448	0.38054	1	4.10042
20	-1.5715	1.1735	1	4.26041
20.1	-1.43393	1.58261	1	3.96441
20.2	-1.24227	2.25108	1	4.04789
20.3	-1.01447	2.50442	1	3.22653
20.4	-0.873905	0.0278182	1	3.15277
20.5	-1.01443	-2.61458	1	3.50821
20.6	-1.2618	-2.09557	1	3.83198
20.7	-1.4503	-1.47094	1	3.89622
20.8	-1.5557	-0.523439	1	3.6101
20.9	-1.60521	-0.243317	1	3.81217
21	-1.58827	0.604226	1	3.85926
21.1	-1.48232	1.62945	1	4.34207
