# t x1 v1 x2 v2
0.08700000 -0.03575015 -0.81222396 0.31712857 0.39505160
0.08800000 -0.03656680 -0.82166537 0.31752582 0.39857352
0.08900000 -0.03739348 -0.83075698 0.31792572 0.40197101
0.09000000 -0.03822832 -0.83884363 0.31832976 0.40541280
0.09100000 -0.03907116 -0.84741547 0.31873654 0.40831479
0.09200000 -0.03992315 -0.85591742 0.31914639 0.41212394
0.09300000 -0.04078300 -0.86463072 0.31956079 0.41638989
0.09400000 -0.04165241 -0.87357732 0.31997917 0.42101777
0.09500000 -0.04253015 -0.88287857 0.32040283 0.42594592
0.09600000 -0.04341817 -0.89110298 0.32083106 0.42993580
0.09700000 -0.04431236 -0.89737134 0.32126270 0.43355879
0.09800000 -0.04521291 -0.90466622 0.32169818 0.43764394
0.09900000 -0.04612169 -0.91285474 0.32213799 0.44184415
0.10000000 -0.04703862 -0.92023349 0.32258186 0.44578517
0.10100000 -0.04796216 -0.92748563 0.32302956 0.44979849
0.10200000 -0.04889359 -0.93489697 0.32348146 0.45339780
0.10300000 -0.04983195 -0.94231523 0.32393635 0.45719125
0.10400000 -0.05077822 -0.95028558 0.32439584 0.46156390
0.10500000 -0.05173252 -0.95924255 0.32485948 0.46551597
0.10600000 -0.05269671 -0.96779701 0.32532688 0.46931621
0.10700000 -0.05366812 -0.97582368 0.32579811 0.47294131
0.10800000 -0.05464835 -0.98434915 0.32627276 0.47657153
0.10900000 -0.05563682 -0.99143360 0.32675126 0.47965524
0.11000000 -0.05663122 -0.99810508 0.32723207 0.48219428
0.11100000 -0.05763303 -1.00553560 0.32771565 0.48591084
0.11200000 -0.05864229 -1.01210403 0.32820389 0.48937675
0.11300000 -0.05965723 -1.01839993 0.32869440 0.49259000
0.11400000 -0.06067909 -1.02550017 0.32918907 0.49601122
0.11500000 -0.06170823 -1.03277406 0.32968642 0.49899539
0.11600000 -0.06274464 -1.03947477 0.33018706 0.50280017
0.11700000 -0.06378718 -1.04581188 0.33069202 0.50730789
0.11800000 -0.06483626 -1.05224557 0.33120168 0.51088465
0.11900000 -0.06589168 -1.05853590 0.33171379 0.51389239
0.12000000 -0.06695334 -1.06492226 0.33222946 0.51701879
0.12100000 -0.06802152 -1.07127889 0.33274783 0.51991572
0.12200000 -0.06909589 -1.07702011 0.33326929 0.52333866
0.12300000 -0.07017556 -1.08325441 0.33379451 0.52734620
0.12400000 -0.07126240 -1.09013417 0.33432399 0.53098396
0.12500000 -0.07235583 -1.09726758 0.33485647 0.53392172
0.12600000 -0.07345694 -1.10434946 0.33539183 0.53729651
0.12700000 -0.07456453 -1.11035460 0.33593107 0.54059747
0.12800000 -0.07567765 -1.11602529 0.33647302 0.54344996
0.12900000 -0.07679658 -1.12198255 0.33701797 0.54669433
0.13000000 -0.07792161 -1.12733786 0.33756641 0.55001212
0.13100000 -0.07905125 -1.13217004 0.33811799 0.55318652
0.13200000 -0.08018595 -1.13744825 0.33867279 0.55683896
