# t K1 K2 U1 U2 Uc E_tot
0.06400000 0.18119786 0.04244063 -0.21860222 0.66032348 0.27012744 0.93548719
0.06500000 0.18722218 0.04363444 -0.22534043 0.65856972 0.27160844 0.93569436
0.06600000 0.19353329 0.04491630 -0.23218817 0.65679036 0.27311817 0.93616996
0.06700000 0.19944241 0.04616106 -0.23913732 0.65498622 0.27465552 0.93610788
0.06800000 0.20503958 0.04749101 -0.24617697 0.65315874 0.27621873 0.93573108
0.06900000 0.21018322 0.04885929 -0.25330290 0.65130393 0.27780858 0.93485212
0.07000000 0.21608993 0.05047391 -0.26049997 0.64942513 0.27942215 0.93491114
0.07100000 0.22294889 0.05177358 -0.26780548 0.64751056 0.28106869 0.93549623
0.07200000 0.22950660 0.05278834 -0.27520946 0.64558475 0.28274016 0.93541039
0.07300000 0.23608114 0.05415283 -0.28270702 0.64363432 0.28443991 0.93560118
0.07400000 0.24328136 0.05564824 -0.29029892 0.64166041 0.28616808 0.93645917
0.07500000 0.25000672 0.05718055 -0.29799945 0.63965795 0.28792869 0.93677446
0.07600000 0.25588982 0.05881351 -0.30577451 0.63763153 0.28971553 0.93627588
0.07700000 0.26215809 0.06061378 -0.31362788 0.63557392 0.29153162 0.93624953
0.07800000 0.26850111 0.06231231 -0.32156359 0.63348755 0.29337727 0.93611465
0.07900000 0.27528834 0.06395363 -0.32957576 0.63137449 0.29525136 0.93629206
0.08000000 0.28243152 0.06551344 -0.33767911 0.62923550 0.29715638 0.93665773
0.08100000 0.28910488 0.06721993 -0.34586472 0.62707333 0.29909056 0.93662398
0.08200000 0.29522221 0.06893828 -0.35412341 0.62488125 0.30105479 0.93597313
0.08300000 0.30131285 0.07050758 -0.36244445 0.62266647 0.30304567 0.93508812
0.08400000 0.30818626 0.07210076 -0.37083396 0.62042734 0.30506505 0.93494546
0.08500000 0.31514900 0.07373014 -0.37930337 0.61816548 0.30711477 0.93485601
0.08600000 0.32233473 0.07587223 -0.38783927 0.61587887 0.30919366 0.93544022
0.08700000 0.32985388 0.07803288 -0.39645648 0.61355467 0.31130847 0.93629344
0.08800000 0.33756699 0.07943043 -0.40514427 0.61120629 0.31345396 0.93651339
0.08900000 0.34507858 0.08079034 -0.41391345 0.60884400 0.31562933 0.93642880
0.09000000 0.35182932 0.08217977 -0.42274309 0.60645918 0.31783415 0.93555934
0.09100000 0.35905649 0.08336048 -0.43163009 0.60406011 0.32006589 0.93491288
0.09200000 0.36629731 0.08492307 -0.44058503 0.60164505 0.32232733 0.93460773
0.09300000 0.37379314 0.08669027 -0.44959306 0.59920522 0.32461912 0.93471470
0.09400000 0.38156867 0.08862798 -0.45867047 0.59674424 0.32694350 0.93521392
0.09500000 0.38973728 0.09071496 -0.46780280 0.59425447 0.32930087 0.93620478
0.09600000 0.39703226 0.09242240 -0.47700862 0.59174025 0.33169375 0.93588003
0.09700000 0.40263766 0.09398661 -0.48624386 0.58920850 0.33411281 0.93370172
0.09800000 0.40921049 0.09576611 -0.49550905 0.58665685 0.33655936 0.93268376
0.09900000 0.41665189 0.09761313 -0.50482187 0.58408248 0.33903798 0.93256361
0.10000000 0.42341484 0.09936221 -0.51417978 0.58148712 0.34154826 0.93163265
0.10100000 0.43011480 0.10115934 -0.52356545 0.57887233 0.34408713 0.93066815
0.10200000 0.43701617 0.10278478 -0.53299030 0.57623596 0.34665795 0.92970456
0.10300000 0.44397899 0.10451192 -0.54244283 0.57358525 0.34925687 0.92889020
0.10400000 0.45152134 0.10652062 -0.55193117 0.57091097 0.35188895 0.92891071
0.10500000 0.46007313 0.10835256 -0.56145470 0.56821588 0.35455385 0.92974071
0.10600000 0.46831553 0.11012885 -0.57102983 0.56550240 0.35725457 0.93017153
0.10700000 0.47611593 0.11183674 -0.58062814 0.56277017 0.35998655 0.93008125
0.10800000 0.48447162 0.11356021 -0.59026344 0.56002187 0.36275224 0.93054249
0.10900000 0.49147029 0.11503457 -0.59992769 0.55725505 0.36555160 0.92938382
0.11000000 0.49810688 0.11625566 -0.60959665 0.55447876 0.36837757 0.92762222
0.11100000 0.50555092 0.11805467 -0.61928254 0.55169052 0.37123400 0.92724756
0.11200000 0.51217728 0.11974480 -0.62898391 0.54887950 0.37412492 0.92594260
0.11300000 0.51856921 0.12132245 -0.63868162 0.54605971 0.37704248 0.92431223
0.11400000 0.52582530 0.12301357 -0.64838559 0.54322039 0.37999296 0.92366662
0.11500000 0.53331113 0.12449820 -0.65809718 0.54037019 0.38297444 0.92305680
0.11600000 0.54025390 0.12640400 -0.66781400 0.53750579 0.38598831 0.92233800
0.11700000 0.54686124 0.12868065 -0.67752338 0.53462145 0.38903461 0.92167457
0.11800000 0.55361036 0.13050156 -0.68722695 0.53171523 0.39211513 0.92071534
0.11900000 0.56024912 0.13204269 -0.69692066 0.52880007 0.39522527 0.91939649
0.12000000 0.56702971 0.13365422 -0.70660165 0.52586987 0.39836727 0.91831941
0.12100000 0.57381923 0.13515618 -0.71627020 0.52292969 0.40154018 0.91717508
0.12200000 0.57998616 0.13694168 -0.72592111 0.51997742 0.40474436 0.91572851
0.12300000 0.58672005 0.13904701 -0.73554418 0.51700956 0.40797954 0.91521198
